日期,商品代碼,商品名稱,契約月份,開盤價,最高價,最低價,收盤價,漲跌,漲跌%,結算價,未平倉量,最佳買價,最佳賣價,歷史最高價,歷史最低價
2024/11/22,TX,臺股期貨,202412,22811.0,23066.0,22780.0,23038.0,463.0,2.05,23032.0,75719,23035.0,23038.0,24463.0,16885.0
2024/11/22,TX,臺股期貨,202501,22829.0,23088.0,22818.0,23062.0,455.0,2.01,23061.0,1020,23061.0,23067.0,23996.0,22293.0
2024/11/22,TX,臺股期貨,202502,22905.0,23100.0,22905.0,23064.0,424.0,1.87,23092.0,27,23089.0,23095.0,23100.0,22485.0
2024/11/22,TX,臺股期貨,202503,23023.0,23120.0,23006.0,23073.0,423.0,1.87,23105.0,474,23102.0,23109.0,24435.0,18886.0
2024/11/22,TX,臺股期貨,202506,23124.0,23150.0,23100.0,23100.0,380.0,1.67,23162.0,403,23157.0,23167.0,24547.0,19133.0
2024/11/22,TX,臺股期貨,202509,22964.0,22983.0,22934.0,22959.0,401.0,1.78,22998.0,152,22984.0,23012.0,23737.0,21377.0
